epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.364,1.11923,2.08964,1.29293,0.76186,0.48539,0.541,0.4124,0.93906,1.03697,1.12223,0.00332066,0.00332066,0.00332066
2,454.584,1.1182,1.50756,1.27108,0.79064,0.41311,0.46463,0.32812,1.07447,1.29543,1.22643,0.00660409,0.00660409,0.00660409
3,678.4,1.27608,1.75025,1.36631,0.50709,0.25585,0.22402,0.13484,1.48319,2.37284,1.54927,0.00983752,0.00983752,0.00983752
4,902.5,1.45565,2.1254,1.50222,0.58869,0.2695,0.2748,0.16823,1.47621,2.0959,1.53901,0.009775,0.009775,0.009775
5,1127.33,1.44411,2.04801,1.49042,0.54179,0.27928,0.27935,0.17551,1.4239,2.1061,1.48089,0.0097,0.0097,0.0097
6,1351.35,1.41722,1.97449,1.47549,0.59872,0.33227,0.32312,0.20315,1.43012,1.92477,1.5088,0.009625,0.009625,0.009625
7,1574.92,1.38425,1.89107,1.46001,0.66452,0.33614,0.36374,0.23265,1.38433,1.77208,1.47377,0.00955,0.00955,0.00955
8,1798.04,1.35288,1.83766,1.43226,0.64331,0.36692,0.39183,0.25838,1.33963,1.69452,1.4262,0.009475,0.009475,0.009475
9,2021.97,1.33458,1.75127,1.41176,0.66181,0.40803,0.45169,0.30892,1.26899,1.48992,1.36558,0.0094,0.0094,0.0094
10,2245.78,1.31241,1.72196,1.4056,0.73565,0.42474,0.49036,0.34342,1.25664,1.485,1.35603,0.009325,0.009325,0.009325
11,2469.35,1.29601,1.64633,1.38569,0.64142,0.4726,0.52413,0.36914,1.20702,1.36543,1.31142,0.00925,0.00925,0.00925
12,2692.64,1.27647,1.63678,1.38078,0.7654,0.42629,0.50919,0.36209,1.20499,1.35024,1.30931,0.009175,0.009175,0.009175
13,2915.69,1.25635,1.57592,1.36613,0.62377,0.47742,0.52398,0.37532,1.16477,1.29338,1.28683,0.0091,0.0091,0.0091
14,3138.91,1.24415,1.55266,1.36515,0.68134,0.46676,0.53477,0.39133,1.1537,1.2922,1.2924,0.009025,0.009025,0.009025
15,3362.22,1.2229,1.50428,1.34756,0.57613,0.50818,0.54441,0.40322,1.12872,1.23946,1.26377,0.00895,0.00895,0.00895
16,3585.22,1.2168,1.48158,1.34243,0.66639,0.52979,0.59621,0.4464,1.11945,1.16071,1.24819,0.008875,0.008875,0.008875
17,3808.75,1.2108,1.46163,1.33902,0.66477,0.5593,0.61583,0.46348,1.10476,1.13843,1.249,0.0088,0.0088,0.0088
18,4032.38,1.20141,1.43102,1.33032,0.7035,0.52721,0.61252,0.46244,1.09604,1.13776,1.23828,0.008725,0.008725,0.008725
19,4255.65,1.19029,1.40556,1.31762,0.79965,0.54904,0.67422,0.51738,1.06232,1.07938,1.20347,0.00865,0.00865,0.00865
20,4479.46,1.17501,1.38654,1.31091,0.67714,0.60831,0.64031,0.49443,1.07374,1.09863,1.21832,0.008575,0.008575,0.008575
21,4702.54,1.17859,1.36851,1.30821,0.7481,0.60466,0.6763,0.513,1.04613,1.02147,1.20122,0.0085,0.0085,0.0085
22,4926.15,1.16933,1.34314,1.30196,0.72438,0.66093,0.70583,0.54183,1.03571,0.98673,1.19464,0.008425,0.008425,0.008425
