Date,Time,Class,Confidence
2025-02-09,13:03:59,cat,0.7
2025-02-09,13:04:01,human,0.69
2025-02-09,13:04:01,human,0.58
2025-02-09,13:04:01,human,0.68
2025-02-09,13:04:02,human,0.81
2025-02-09,13:04:02,human,0.86
2025-02-09,13:04:02,human,0.68
2025-02-09,13:04:02,human,0.56
2025-02-09,13:04:02,human,0.72
2025-02-09,13:04:03,human,0.59
2025-02-09,13:04:03,human,0.51
2025-02-09,13:04:04,human,0.68
2025-02-09,13:04:04,human,0.8
2025-02-09,13:04:04,human,0.57
2025-02-09,13:04:05,human,0.86
2025-02-09,13:04:05,human,0.62
2025-02-09,13:04:05,human,0.86
2025-02-09,13:04:06,human,0.89
2025-02-09,13:04:06,human,0.75
2025-02-09,13:04:06,human,0.85
2025-02-09,13:04:06,human,0.55
2025-02-09,13:04:06,human,0.84
2025-02-09,13:04:06,human,0.55
2025-02-09,13:04:06,human,0.79
2025-02-09,13:04:06,human,0.54
2025-02-09,13:04:07,human,0.85
2025-02-09,13:04:07,human,0.52
2025-02-09,13:04:07,human,0.86
2025-02-09,13:04:08,human,0.84
2025-02-09,13:04:08,human,0.6
2025-02-09,13:04:08,human,0.64
2025-02-09,13:04:08,human,0.6
2025-02-09,13:04:08,human,0.62
2025-02-09,13:04:08,human,0.68
2025-02-09,13:04:08,human,0.86
2025-02-09,13:04:09,human,0.92
2025-02-09,13:04:09,human,0.82
2025-02-09,13:04:09,human,0.79
2025-02-09,13:04:10,human,0.86
2025-02-09,13:04:10,human,0.88
2025-02-09,13:04:10,human,0.83
2025-02-09,13:04:10,human,0.77
2025-02-09,13:04:11,human,0.5
2025-02-09,13:04:11,human,0.9
2025-02-09,13:04:11,human,0.71
2025-02-09,13:04:11,human,0.67
2025-02-09,13:04:12,human,0.81
2025-02-09,13:04:12,human,0.53
2025-02-09,13:04:12,human,0.79
2025-02-09,13:04:12,human,0.7
2025-02-09,13:04:12,human,0.87
2025-02-09,13:04:12,human,0.63
2025-02-09,13:04:12,human,0.68
2025-02-09,13:04:12,human,0.67
2025-02-09,13:04:13,human,0.79
2025-02-09,13:04:13,human,0.72
2025-02-09,13:04:13,human,0.9
2025-02-09,13:04:13,human,0.79
2025-02-09,13:04:13,human,0.88
2025-02-09,13:04:13,human,0.81
2025-02-09,13:04:13,human,0.62
2025-02-09,13:04:13,human,0.63
2025-02-09,13:04:13,human,0.52
2025-02-09,13:04:14,human,0.54
2025-02-09,13:04:14,human,0.63
2025-02-09,13:04:14,human,0.62
2025-02-09,13:04:14,human,0.65
2025-02-09,13:04:14,human,0.59
2025-02-09,13:04:15,human,0.82
2025-02-09,13:04:15,human,0.62
2025-02-09,13:04:15,human,0.6
2025-02-09,13:04:15,human,0.63
2025-02-09,13:04:15,human,0.55
2025-02-09,13:04:15,human,0.86
2025-02-09,13:04:15,human,0.74
2025-02-09,13:04:16,human,0.91
2025-02-09,13:04:16,human,0.63
2025-02-09,13:04:16,human,0.89
2025-02-09,13:04:16,human,0.77
2025-02-09,13:04:16,human,0.82
2025-02-09,13:04:16,human,0.59
2025-02-09,13:04:16,human,0.91
2025-02-09,13:04:16,human,0.73
2025-02-09,13:04:16,human,0.9
2025-02-09,13:04:16,human,0.7
2025-02-09,13:04:17,human,0.89
2025-02-09,13:04:17,human,0.78
2025-02-09,13:04:17,human,0.92
2025-02-09,13:04:17,human,0.77
2025-02-09,13:04:17,human,0.86
2025-02-09,13:04:17,human,0.58
2025-02-09,13:04:17,human,0.81
2025-02-09,13:04:17,human,0.5
2025-02-09,13:04:18,human,0.85
2025-02-09,13:04:18,human,0.64
2025-02-09,13:04:18,human,0.86
2025-02-09,13:04:18,human,0.89
2025-02-09,13:04:18,human,0.57
2025-02-09,13:04:18,human,0.89
2025-02-09,13:04:18,human,0.56
2025-02-09,13:04:18,human,0.82
2025-02-09,13:04:19,human,0.87
2025-02-09,13:04:19,human,0.51
2025-02-09,13:04:19,human,0.83
2025-02-09,13:04:19,human,0.76
2025-02-09,13:04:19,human,0.89
2025-02-09,13:04:19,human,0.81
2025-02-09,13:04:19,human,0.89
2025-02-09,13:04:19,human,0.62
2025-02-09,13:04:20,human,0.71
2025-02-09,13:04:20,human,0.62
2025-02-09,13:04:20,human,0.66
2025-02-09,13:04:20,human,0.58
2025-02-09,13:04:20,human,0.51
2025-02-09,13:04:21,human,0.58
2025-02-09,13:04:21,human,0.66
2025-02-09,13:04:22,human,0.91
2025-02-09,13:04:22,human,0.91
2025-02-09,13:04:22,human,0.92
2025-02-09,13:04:22,human,0.87
2025-02-09,13:04:22,bird,0.62
2025-02-09,13:04:23,human,0.88
2025-02-09,13:04:23,human,0.62
2025-02-09,13:04:23,human,0.92
2025-02-09,13:04:24,bird,0.69
2025-02-09,13:04:24,human,0.68
2025-02-09,13:04:24,human,0.92
2025-02-09,13:04:24,human,0.85
2025-02-09,13:04:25,human,0.92
2025-02-09,13:04:25,human,0.61
2025-02-09,13:04:25,human,0.52
2025-02-09,13:04:25,bird,0.89
2025-02-09,13:04:28,human,0.92
2025-02-09,13:04:28,human,0.76
2025-02-09,13:04:29,human,0.58
2025-02-09,13:04:30,human,0.62
2025-02-09,13:04:30,human,0.75
2025-02-09,13:04:30,human,0.73
2025-02-09,13:04:31,human,0.8
2025-02-09,13:04:32,human,0.65
2025-02-09,13:04:32,human,0.57
2025-02-09,13:04:32,human,0.55
